Assumption,Value,Notes
Month-Index Block Bootstrap,same sampled month path applied to every frame,"Resamples positions, not values, so cross-sectional rows move intact."
Block Length,6,Circular blocks wrap within the source month sequence.
Fixed Weight Path Count,1000,
Refit Path Count,200,
Fixed Weight Seed,20260625,
Refit Seed,20260626,
Periods Per Year,12,
Stratification Counts,High VIX=20; Low VIX=20; Mid VIX=20,Each path preserves historical regime counts.
Slot Relabeling Approximation,pseudo rows relabeled to original train dates,SPY beta/stress augmentation uses slot-calendar dates; constraints only.
stratification,VIX terciles from the realized OOS return months,
